접수일자,처리일시,민원명,민원요지,주관부서명,처리내용
2026-04-06 09:17,2026-04-11 17:50,쓰레기 수거 시간 조정 요청,새벽 수거 차량 소음으로 생활에 불편이 있습니다.,자원순환과,수거 시간 조정 가능성을 청소 대행업체와 협의함.
2026-03-01 11:39,2026-03-05 18:56,노선 변경 안내 부족 신고,버스 노선 변경 안내가 부족해 이용에 불편이 있었습니다.,버스운영과,노선 변경 안내 방식 개선을 운수업체와 협의함.
2026-02-07 10:28,2026-02-13 12:31,노후 건축물 안전 문의,노후 건축물 안전진단 지원 제도가 있는지 알고 싶습니다.,건축과,안전진단 제도와 상담 절차를 안내함.
2026-03-25 10:11,2026-03-27 13:43,재활용 분리수거함 설치 요청,아파트 주변에 재활용 분리수거함이 부족합니다.,자원순환과,수거함 설치 가능 여부와 관리 주체를 확인함.
2026-02-25 09:17,2026-02-27 12:43,안전 표지 설치 요청,공사장 주변에 안전 표지가 부족해 사고가 우려됩니다.,안전정책과,안전 표지 설치 필요성을 관계 기관과 검토함.
2026-01-16 09:17,2026-01-22 10:31,위기가구 신고,이웃 주민이 생활에 어려움을 겪는 것 같아 신고합니다.,복지정책과,위기가구 확인 절차와 복지 연계 방안을 안내함.
2026-02-21 14:55,2026-02-24 19:37,저상버스 확대 요청,휠체어 이용자가 탑승 가능한 저상버스를 늘려주세요.,버스운영과,노선별 저상버스 운행 현황과 확대 계획을 검토함.
2026-02-13 10:11,2026-02-15 18:19,재난문자 수신 문의,재난문자를 받지 못해 수신 설정 방법을 알고 싶습니다.,안전정책과,재난문자 수신 기준과 휴대전화 설정 방법을 안내함.
2026-01-12 14:55,2026-01-17 19:32,복지 상담 예약 요청,복지 상담을 받고 싶은데 방문 예약이 가능한지 문의합니다.,복지정책과,상담 가능 일정과 예약 절차를 안내함.
2026-04-16 11:22,2026-04-19 18:32,대기오염 신고,사업장에서 검은 연기가 발생해 대기오염이 우려됩니다.,기후환경정책과,사업장 배출시설 점검 필요성을 확인함.
2026-04-02 14:55,2026-04-08 22:33,재활용품 수거일 문의,재활용품 배출 요일과 수거 시간을 확인하고 싶습니다.,자원순환과,지역별 재활용품 배출 기준을 안내함.
2026-04-24 15:06,2026-04-30 20:59,생활 소음 단속 요청,상가 음악 소리가 늦은 밤까지 크게 들립니다.,기후환경정책과,생활 소음 기준과 단속 절차를 안내함.
2026-01-28 12:33,2026-02-01 14:55,교차로 교통 혼잡 개선 요청,퇴근 시간 교차로 정체가 심해 신호 체계 개선이 필요합니다.,교통정책과,교차로 교통 흐름을 검토하고 신호 운영 개선 여부를 확인함.
2026-02-03 15:06,2026-02-04 22:11,교통 표지판 추가 설치 요청,초행 운전자가 방향을 헷갈려 교통 표지판 추가가 필요합니다.,교통정책과,현장 확인 후 교통 표지판 설치 적정성을 검토함.
2026-01-08 12:33,2026-01-10 16:37,저소득층 지원 사업 문의,저소득 가구를 위한 지원 사업을 확인하고 싶습니다.,복지정책과,대상별 지원 사업과 신청 방법을 안내함.
2026-02-23 15:06,2026-03-01 16:11,재난 대비 시설 문의,인근 대피소 위치와 이용 방법을 알고 싶습니다.,안전정책과,대피소 위치와 재난 시 이용 절차를 안내함.
2026-02-19 13:44,2026-02-20 22:35,안전 교육 신청 문의,주민 대상 안전교육 프로그램을 신청하고 싶습니다.,안전정책과,안전교육 운영 일정과 신청 절차를 안내함.
2026-02-15 11:22,2026-02-19 14:39,생활안전 점검 요청,주민들이 많이 다니는 계단이 미끄러워 안전 점검이 필요합니다.,안전정책과,생활안전 시설 점검 및 개선 필요성을 검토함.
2026-03-27 11:22,2026-03-31 14:10,대형폐기물 수거 지연 문의,신청한 대형폐기물이 예정일이 지나도 수거되지 않았습니다.,자원순환과,수거 신청 내역을 확인하고 담당 수거업체에 조치 요청함.
2026-02-23 15:06,2026-02-26 17:44,버스 정류장 시설 개선 요청,정류장 의자가 부족하고 비가림 시설이 노후되었습니다.,버스운영과,정류장 시설 상태를 확인하고 개선 여부를 검토함.
2026-01-12 14:55,2026-01-13 19:09,민원 담당 부서 확인 요청,민원 내용이 여러 부서와 관련되어 담당 부서를 확인하고 싶습니다.,소통민원과,민원 내용을 검토하여 관련 담당 부서를 안내함.
2026-03-21 11:39,2026-03-26 19:36,인도 폭 확장 요청,보행자가 많은 구간의 인도 폭이 좁아 통행이 불편합니다.,도로과,보행 환경과 도로 여건을 검토하여 개선 가능성을 확인함.
2026-01-06 11:22,2026-01-08 15:09,온라인 민원 접수 오류 문의,온라인 민원 신청 과정에서 오류가 발생해 접수가 완료되지 않습니다.,소통민원과,시스템 접수 오류 여부를 확인하고 재접수 방법을 안내함.
2026-03-19 10:28,2026-03-25 16:15,도로 침하 의심 신고,도로 일부가 내려앉은 것 같아 안전 점검을 요청합니다.,도로과,도로 침하 여부를 확인하고 안전 점검을 실시함.
2026-02-03 15:06,2026-02-08 00:01,건축물 용도 변경 문의,상가 건물의 용도 변경 절차를 문의합니다.,건축과,용도 변경 가능 여부와 신청 절차를 안내함.
2026-03-05 10:11,2026-03-08 11:25,보도블록 파손 신고,인도 보도블록이 깨져 보행자가 넘어질 위험이 있습니다.,도로과,파손 구간을 확인하고 보수 작업을 요청함.
2026-02-01 14:55,2026-02-02 23:29,자전거 도로 이용 불편 신고,자전거 도로가 끊겨 있어 이용 중 위험합니다.,교통정책과,자전거도로 연결 현황을 확인하고 개선 필요성을 검토함.
2026-04-14 10:11,2026-04-20 16:18,미세먼지 저감 요청,도로변 미세먼지가 심해 살수차 운행 확대를 요청합니다.,기후환경정책과,미세먼지 저감 대책과 도로 청소 계획을 검토함.
2026-03-03 09:00,2026-03-09 13:43,도로 포트홀 보수 요청,집 앞 도로에 큰 구멍이 생겨 차량 통행이 위험합니다.,도로과,현장 확인 후 도로 포장 보수 필요성을 검토함.
2026-05-18 10:28,2026-05-23 17:41,우수관 정비 요청,우수관 주변이 파손되어 빗물이 제대로 빠지지 않습니다.,물환경과,우수관 시설 상태를 점검하고 정비 계획을 검토함.
2026-01-18 10:28,2026-01-22 16:19,민원 서류 제출 방법 문의,추가 서류를 온라인으로 제출할 수 있는지 확인하고 싶습니다.,소통민원과,필요 서류와 제출 가능한 방법을 안내함.
2026-02-17 12:33,2026-02-20 21:13,버스 도착정보 오류 신고,정류장 안내기에 표시된 도착 정보가 실제와 다릅니다.,버스운영과,버스정보시스템 오류 여부를 확인하고 정비 요청함.
2026-01-22 09:00,2026-01-26 15:17,횡단보도 신호 시간 조정 요청,출퇴근 시간에 횡단보도 신호 시간이 짧아 보행자가 건너기 어렵습니다.,교통정책과,현장 교통량과 보행량을 검토하여 신호 조정 가능 여부를 확인함.
2026-05-12 14:55,2026-05-13 18:03,오수 무단 방류 신고,상가에서 오수를 하천으로 흘려보내는 것 같습니다.,물환경과,오수 배출 여부를 확인하고 점검을 실시함.
2026-01-20 11:39,2026-01-23 14:11,통합복지 서비스 문의,여러 복지 서비스를 한 번에 상담받을 수 있는지 문의합니다.,복지정책과,통합 상담 창구와 서비스 연계 절차를 안내함.
2026-02-11 09:00,2026-02-17 13:49,버스 배차 간격 조정 요청,출근 시간 버스 배차 간격이 길어 승객 대기가 많습니다.,버스운영과,노선별 이용 수요를 확인하고 배차 조정 가능성을 검토함.
2026-05-16 09:17,2026-05-18 14:50,하천 산책로 침수 신고,비가 올 때 하천 산책로가 자주 침수됩니다.,물환경과,침수 원인을 확인하고 안전 조치 여부를 검토함.
2026-05-10 13:44,2026-05-16 22:36,하천 쓰레기 수거 요청,하천변에 쓰레기가 쌓여 있어 수거가 필요합니다.,물환경과,하천 관리 구역을 확인하고 수거 조치를 요청함.
2026-05-04 10:11,2026-05-05 17:07,빗물받이 악취 신고,도로변 빗물받이에서 심한 악취가 납니다.,물환경과,배수 시설 상태를 확인하고 청소 필요성을 검토함.
2026-01-28 12:33,2026-02-01 19:45,건축물 균열 신고,오래된 건물 외벽에 균열이 있어 안전 점검이 필요합니다.,건축과,건축물 안전 점검 필요성을 검토함.
2026-01-14 15:06,2026-01-19 16:41,민원 처리 결과 통보 요청,처리 완료된 민원의 결과 통보를 다시 받고 싶습니다.,소통민원과,처리 결과를 확인하고 신청자에게 결과 통보 방법을 안내함.
2026-01-24 10:11,2026-01-28 14:45,건축 인허가 문의,소규모 건축 공사 전 필요한 인허가 절차를 알고 싶습니다.,건축과,건축 인허가 대상과 신청 절차를 안내함.
2026-03-23 09:00,2026-03-28 16:23,쓰레기 무단투기 신고,골목에 생활쓰레기가 계속 버려져 악취가 발생합니다.,자원순환과,현장 확인 후 무단투기 단속 및 수거 조치를 요청함.
2026-02-11 09:00,2026-02-12 13:12,위험 시설물 신고,공원 근처 난간이 흔들려 안전사고가 우려됩니다.,안전정책과,위험 시설물 상태를 확인하고 보수 조치를 요청함.
2026-05-20 11:39,2026-05-25 16:24,수질오염 예방 안내 요청,소규모 사업장의 수질오염 예방 기준을 알고 싶습니다.,물환경과,관련 기준과 준수사항을 안내함.
2026-01-10 13:44,2026-01-13 15:21,사회복지시설 이용 문의,가까운 사회복지시설 위치와 이용 방법을 알고 싶습니다.,복지정책과,지역 사회복지시설 정보를 제공함.
2026-01-16 09:17,2026-01-18 16:31,방문 민원 예약 문의,시청 방문 민원 상담을 예약할 수 있는지 문의합니다.,소통민원과,방문 상담 가능 시간과 예약 절차를 안내함.
2026-02-25 09:17,2026-03-03 12:51,막차 시간 연장 요청,야간 근무 후 이용할 수 있는 버스가 부족합니다.,버스운영과,노선별 이용 수요와 운행 여건을 검토함.
2026-03-17 09:17,2026-03-20 12:32,가로등 주변 도로 파손 신고,가로등 근처 도로가 패여 보행자와 차량 모두 위험합니다.,도로과,현장 확인 후 도로 보수 대상 여부를 검토함.
2026-02-19 13:44,2026-02-22 17:07,버스 기사 불친절 신고,버스 이용 중 운전자의 불친절한 응대가 있었습니다.,버스운영과,운수업체에 사실 확인 및 친절 교육을 요청함.
2026-02-09 11:39,2026-02-11 13:41,교통안전 캠페인 요청,아파트 주변 교통안전 캠페인과 단속 강화를 요청합니다.,교통정책과,해당 지역 교통안전 홍보 및 단속 협조 방안을 검토함.
2026-05-06 11:22,2026-05-09 15:25,하수도 역류 신고,비가 온 뒤 하수도가 역류해 보행로가 오염되었습니다.,물환경과,하수도 시설 점검 및 정비를 요청함.
2026-01-30 13:44,2026-01-31 16:26,옥외 간판 설치 문의,상가 간판 설치 시 신고가 필요한지 알고 싶습니다.,건축과,옥외광고물 설치 기준과 신고 절차를 안내함.
2026-01-04 10:11,2026-01-10 16:39,기초생활보장 상담 요청,기초생활보장 수급 신청 기준과 필요 서류를 알고 싶습니다.,복지정책과,신청 자격과 구비서류를 안내함.
2026-02-09 11:39,2026-02-13 18:30,무허가 공사 신고,주말마다 허가 없이 공사를 진행하는 것 같습니다.,건축과,공사 허가 여부를 확인하고 필요 시 현장 점검을 요청함.
2026-04-20 13:44,2026-04-26 19:16,탄소중립 정책 문의,대구시 탄소중립 지원 사업에 대해 알고 싶습니다.,기후환경정책과,관련 지원 사업과 신청 절차를 안내함.
2026-03-15 15:06,2026-03-21 23:15,차선 도색 요청,차선이 흐려져 야간 운전 시 차로 구분이 어렵습니다.,도로과,차선 도색 상태를 확인하고 재도색 필요성을 검토함.
2026-04-28 10:28,2026-05-01 14:02,환경교육 프로그램 문의,시민 대상 환경교육 프로그램 신청 방법을 알고 싶습니다.,기후환경정책과,환경교육 운영 일정과 신청 방법을 안내함.
2026-03-09 12:33,2026-03-12 14:46,도로 표면 균열 보수 요청,도로 표면이 갈라져 오토바이 운행 시 위험합니다.,도로과,도로 균열 상태를 확인하고 보수 계획에 반영함.
2026-04-10 11:39,2026-04-16 14:22,생활폐기물 처리 문의,이사 후 발생한 생활폐기물 처리 방법을 알고 싶습니다.,자원순환과,생활폐기물 배출 절차와 신고 방법을 안내함.
2026-01-02 09:00,2026-01-08 11:01,민원 처리 지연 문의,지난주 접수한 민원의 처리 진행 상황을 확인하고 싶습니다.,소통민원과,접수 민원 진행 상황을 확인 후 처리 예정일을 안내함.
2026-04-08 10:28,2026-04-11 12:11,분리배출 안내 요청,플라스틱과 비닐 분리배출 기준이 헷갈립니다.,자원순환과,품목별 분리배출 기준을 안내함.
